"codigo","producto","categoria","imagen","Costo proveedor","Venta publico","Items","stock minimo"
"7501111000001","Arroz blanco 1kg","Abarrotes","/productos/genericos/001-arroz-blanco-1kg.webp","22.00","32.00","24","5"
"7501111000002","Frijol negro 1kg","Abarrotes","/productos/genericos/002-frijol-negro-1kg.webp","28.00","38.00","24","5"
"7501111000003","Frijol pinto 1kg","Abarrotes","/productos/genericos/003-frijol-pinto-1kg.webp","26.00","36.00","24","5"
"7501111000004","Azucar 1kg","Abarrotes","/productos/genericos/004-azucar-1kg.webp","18.00","26.00","24","5"
"7501111000005","Sal fina 1kg","Abarrotes","/productos/genericos/005-sal-fina-1kg.webp","8.00","13.00","24","5"
"7501111000006","Harina de trigo 1kg","Abarrotes","/productos/genericos/006-harina-trigo-1kg.webp","16.00","24.00","24","5"
"7501111000007","Harina de maiz 1kg","Abarrotes","/productos/genericos/007-harina-maiz-1kg.webp","18.00","26.00","24","5"
"7501111000008","Pasta codito 200g","Abarrotes","/productos/genericos/008-pasta-codito-200g.webp","8.00","13.00","24","5"
"7501111000009","Spaghetti 200g","Abarrotes","/productos/genericos/009-spaghetti-200g.webp","8.00","13.00","24","5"
"7501111000010","Sopa fideo 200g","Abarrotes","/productos/genericos/010-sopa-fideo-200g.webp","7.00","12.00","24","5"
"7501111000011","Avena 400g","Abarrotes","/productos/genericos/011-avena-400g.webp","18.00","28.00","24","5"
"7501111000012","Lenteja 500g","Abarrotes","/productos/genericos/012-lenteja-500g.webp","16.00","24.00","24","5"
"7501111000013","Garbanzo 500g","Abarrotes","/productos/genericos/013-garbanzo-500g.webp","15.00","23.00","24","5"
"7501111000014","Aceite vegetal 1L","Abarrotes","/productos/genericos/014-aceite-vegetal-1l.webp","32.00","45.00","24","5"
"7501111000015","Vinagre blanco 1L","Abarrotes","/productos/genericos/015-vinagre-blanco-1l.webp","10.00","16.00","24","5"
"7501111000016","Cafe soluble 100g","Abarrotes","/productos/genericos/016-cafe-soluble-100g.webp","38.00","55.00","24","5"
"7501111000017","Chocolate en polvo 400g","Abarrotes","/productos/genericos/017-chocolate-polvo-400g.webp","42.00","58.00","24","5"
